"r0_label","r1_label","r2_label","v_label","yr","r0","r1","r2","id","w","v","r2_v","r1_v","r0_v","r2_n","r1_n","r0_n","r2_n_notna","r1_n_notna","r0_n_notna","z_level","z_ids","z_n","z_n_pct","z_g_score","z"
"World","Europe","Western Europe","Hamburg",1990,1,150,155,1,1,0.0179381054290139,0.0179381054290139,0.0179381054290139,0.0179381054290139,4,4,4,4,4,4,"v","1",1,1,0,0.0179381054290139
"World","Europe","Western Europe","Hamburg",1991,1,150,155,1,1,0.0179568950897732,0.0179568950897732,0.0179568950897732,0.0179568950897732,4,4,4,4,4,4,"v","1",1,1,0,0.0179568950897732
"World","Europe","Western Europe","Hamburg",1992,1,150,155,1,1,0.0191813740525827,0.0191813740525827,0.0191813740525827,0.0191813740525827,4,4,4,4,4,4,"v","1",1,1,0,0.0191813740525827
"World","Europe","Western Europe","Hamburg",1993,1,150,155,1,1,0.0196088884259384,0.0196088884259384,0.0196088884259384,0.0196088884259384,4,4,4,4,4,4,"v","1",1,1,0,0.0196088884259384
"World","Europe","Western Europe","Hamburg",1994,1,150,155,1,1,0.0178534051885656,0.0178534051885656,0.0178534051885656,0.0178534051885656,4,4,4,4,4,4,"v","1",1,1,0,0.0178534051885656
"World","Europe","Western Europe","Hamburg",1995,1,150,155,1,1,0.0168752901518637,0.0168752901518637,0.0168752901518637,0.0168752901518637,4,4,4,4,4,4,"v","1",1,1,0,0.0168752901518637
"World","Europe","Western Europe","Hamburg",1996,1,150,155,1,1,0.0183213968727138,0.0183213968727138,0.0183213968727138,0.0183213968727138,4,4,4,4,4,4,"v","1",1,1,0,0.0183213968727138
"World","Europe","Western Europe","Hamburg",1997,1,150,155,1,1,0.0200457954111537,0.0200457954111537,0.0200457954111537,0.0200457954111537,4,4,4,4,4,4,"v","1",1,1,0,0.0200457954111537
"World","Europe","Western Europe","Hamburg",1998,1,150,155,1,1,0.0205499706192255,0.0205499706192255,0.0205499706192255,0.0205499706192255,4,4,4,4,4,4,"v","1",1,1,0,0.0205499706192255
"World","Europe","Western Europe","Hamburg",1999,1,150,155,1,1,0.0210131769420713,0.0210131769420713,0.0210131769420713,0.0210131769420713,4,4,4,4,4,4,"v","1",1,1,0,0.0210131769420713
"World","Europe","Western Europe","Hamburg",2000,1,150,155,1,1,0.0229710716456683,0.0229710716456683,0.0229710716456683,0.0229710716456683,4,4,4,4,4,4,"v","1",1,1,0,0.0229710716456683
"World","Europe","Western Europe","Hamburg",2001,1,150,155,1,1,0.0222682037249566,0.0222682037249566,0.0222682037249566,0.0222682037249566,4,4,4,4,4,4,"v","1",1,1,0,0.0222682037249566
"World","Europe","Western Europe","Hamburg",2002,1,150,155,1,1,0.0201915589296375,0.0201915589296375,0.0201915589296375,0.0201915589296375,4,4,4,4,4,4,"v","1",1,1,0,0.0201915589296375
"World","Europe","Western Europe","Hamburg",2003,1,150,155,1,1,0.0183746179727192,0.0183746179727192,0.0183746179727192,0.0183746179727192,4,4,4,4,4,4,"v","1",1,1,0,0.0183746179727192
"World","Europe","Western Europe","Hamburg",2004,1,150,155,1,1,0.0185103424046826,0.0185103424046826,0.0185103424046826,0.0185103424046826,4,4,4,4,4,4,"v","1",1,1,0,0.0185103424046826
"World","Europe","Western Europe","Hamburg",2005,1,150,155,1,1,0.0184760326365607,0.0184760326365607,0.0184760326365607,0.0184760326365607,4,4,4,4,4,4,"v","1",1,1,0,0.0184760326365607
"World","Europe","Western Europe","Hamburg",2006,1,150,155,1,1,0.018357407397367,0.018357407397367,0.018357407397367,0.018357407397367,4,4,4,4,4,4,"v","1",1,1,0,0.018357407397367
"World","Europe","Western Europe","Hamburg",2007,1,150,155,1,1,0.0169839381657094,0.0169839381657094,0.0169839381657094,0.0169839381657094,4,4,4,4,4,4,"v","1",1,1,0,0.0169839381657094
"World","Europe","Western Europe","Hamburg",2008,1,150,155,1,1,0.0159762883661901,0.0159762883661901,0.0159762883661901,0.0159762883661901,4,4,4,4,4,4,"v","1",1,1,0,0.0159762883661901
"World","Europe","Western Europe","Hamburg",2009,1,150,155,1,1,0.0169458155269241,0.0169458155269241,0.0169458155269241,0.0169458155269241,4,4,4,4,4,4,"v","1",1,1,0,0.0169458155269241
"World","Europe","Western Europe","Hamburg",2010,1,150,155,1,1,0.0171822646854831,0.0171822646854831,0.0171822646854831,0.0171822646854831,4,4,4,4,4,4,"v","1",1,1,0,0.0171822646854831
